p,previous_prime,next_prime,offset,gap_width,left_share,gap_cutoff_ratio,dynamic_cutoff,dynamic_cutoff_utilization,o_q,elapsed_seconds
3,7,11,2,4,0.5,0.0625,64,0.03125,4,2.4080276489257812e-05
11,113,127,8,14,0.5714285714285714,0.21875,64,0.125,6,3.3855438232421875e-05
41,1669,1693,12,24,0.5,0.375,64,0.1875,4,6.079673767089844e-05
109,11867,11887,14,20,0.7,0.3125,64,0.21875,2,8.177757263183594e-05
157,24631,24659,18,28,0.6428571428571429,0.4375,64,0.28125,6,9.393692016601562e-05
199,39581,39607,20,26,0.7692307692307693,0.40625,64,0.3125,2,0.0001227855682373047
397,157579,157627,30,48,0.625,0.6666666666666666,72,0.4166666666666667,4,0.00037980079650878906
509,259033,259099,48,66,0.7272727272727273,0.8461538461538461,78,0.6153846153846154,4,0.0004367828369140625
3929,15436943,15437053,98,110,0.8909090909090909,0.8029197080291971,137,0.7153284671532847,6,0.0031578540802001953
6424279,41271360669481,41271360669857,360,376,0.9574468085106383,0.7642276422764228,492,0.7317073170731707,6,7.356391906738281
