scale,chain_limit,stop_rule,source,shadow_count,true_in_chain_count,max_true_chain_position,top1_correct,top1_recall,audit_failed_after_stop_rule,miss_true_not_in_chain,miss_wrong_chain_node_selected
1000000000000000,4,chain_fallback_exact_first_prime_in_chain,chain_fallback,141,138,4,138,0.9787234042553191,3,3,0
1000000000000000,6,stop_rule_1_first_chain_node,PGS_probe,141,140,5,76,0.5390070921985816,65,1,64
1000000000000000,6,stop_rule_2_successor_gap_exceeds_prior_median,PGS_probe,141,140,5,49,0.3475177304964539,92,1,91
1000000000000000,6,stop_rule_3_low_exact_boundary_delta,PGS_probe,141,140,5,76,0.5390070921985816,65,1,64
1000000000000000,6,stop_rule_4_post_visible_open_density_drop,PGS_probe,141,140,5,43,0.3049645390070922,98,1,97
1000000000000000,6,stop_rule_5_next_chain_node_outside_R64,PGS_probe,141,140,5,18,0.1276595744680851,123,1,122
1000000000000000,6,stop_rule_6_best_ranker_b,PGS_probe,141,140,5,76,0.5390070921985816,65,1,64
1000000000000000,6,stop_rule_7_best_ranker_c,PGS_probe,141,140,5,14,0.09929078014184398,127,1,126
1000000000000000,6,stop_rule_8_after_final_semiprime_gt_horizon_audit_only,audit_assisted_probe,141,140,5,140,0.9929078014184397,1,1,0
1000000000000000,6,chain_fallback_exact_first_prime_in_chain,chain_fallback,141,140,5,140,0.9929078014184397,1,1,0
1000000000000000,8,stop_rule_1_first_chain_node,PGS_probe,141,141,7,76,0.5390070921985816,65,0,65
1000000000000000,8,stop_rule_2_successor_gap_exceeds_prior_median,PGS_probe,141,141,7,47,0.3333333333333333,94,0,94
1000000000000000,8,stop_rule_3_low_exact_boundary_delta,PGS_probe,141,141,7,76,0.5390070921985816,65,0,65
1000000000000000,8,stop_rule_4_post_visible_open_density_drop,PGS_probe,141,141,7,47,0.3333333333333333,94,0,94
1000000000000000,8,stop_rule_5_next_chain_node_outside_R64,PGS_probe,141,141,7,18,0.1276595744680851,123,0,123
1000000000000000,8,stop_rule_6_best_ranker_b,PGS_probe,141,141,7,76,0.5390070921985816,65,0,65
1000000000000000,8,stop_rule_7_best_ranker_c,PGS_probe,141,141,7,11,0.07801418439716312,130,0,130
1000000000000000,8,stop_rule_8_after_final_semiprime_gt_horizon_audit_only,audit_assisted_probe,141,141,7,141,1.0,0,0,0
