scale,selector,shadow_seed_rows,correct,correct_percent,no_selection,selected_too_early,selected_too_late,audit_failed_if_promoted,emitted_count,projected_pgs_count,projected_pgs_percent,promotion_eligible
1000000000000,d4_nlsc_without_threat_or_margin,102,0,0.0,102,0,0,0,253,151,59.683794466403164,False
1000000000000,milestone1_boundary_without_offset,102,0,0.0,102,0,0,0,253,151,59.683794466403164,False
1000000000000000,d4_nlsc_without_threat_or_margin,141,0,0.0,141,0,0,0,249,108,43.373493975903614,False
1000000000000000,milestone1_boundary_without_offset,141,0,0.0,141,0,0,0,249,108,43.373493975903614,False
1000000000000000000,d4_nlsc_without_threat_or_margin,145,0,0.0,145,0,0,0,250,105,42.0,False
1000000000000000000,milestone1_boundary_without_offset,145,0,0.0,145,0,0,0,250,105,42.0,False
