scale,rule_id,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selected_delta_from_true,failure_mode,run_length,failure_reason,residue_exhausted,open_witness_count,closed_witness_count,materialized_witness_count
1000000000000000,M3_witness_run_odd,999999999990913,999999999990917,999999999990977,,,no_selection,30,no_unmarked_candidate_in_materialized_stream,False,11,8,12
1000000000000000,M4_witness_run_odd_resclosed,999999999990913,999999999990917,999999999990977,,,no_selection,30,no_unmarked_candidate_in_materialized_stream,False,11,8,12
1000000000000000,M1_visible_run_all,999999999990977,999999999990989,999999999991019,999999999991019,0,correct,29,,False,8,5,10
1000000000000000,M2_visible_run_odd,999999999990977,999999999990989,999999999991019,999999999991019,0,correct,14,,False,8,3,10
1000000000000000,M3_witness_run_odd,999999999990977,999999999990989,999999999991019,,,no_selection,15,no_unmarked_candidate_in_materialized_stream,False,8,3,10
1000000000000000,M4_witness_run_odd_resclosed,999999999990977,999999999990989,999999999991019,,,no_selection,15,no_unmarked_candidate_in_materialized_stream,False,8,3,10
1000000000000000,M1_visible_run_all,999999999991019,999999999991033,999999999991051,999999999991051,0,correct,17,,False,6,4,7
1000000000000000,M2_visible_run_odd,999999999991019,999999999991033,999999999991051,999999999991051,0,correct,8,,False,6,2,7
1000000000000000,M3_witness_run_odd,999999999991019,999999999991033,999999999991051,,,no_selection,9,no_unmarked_candidate_in_materialized_stream,False,6,2,7
1000000000000000,M4_witness_run_odd_resclosed,999999999991019,999999999991033,999999999991051,,,no_selection,9,no_unmarked_candidate_in_materialized_stream,False,6,2,7
1000000000000000,M1_visible_run_all,999999999991067,999999999991079,999999999991099,999999999991087,-12,selected_too_early,7,,False,5,3,7
1000000000000000,M2_visible_run_odd,999999999991067,999999999991079,999999999991099,999999999991087,-12,selected_too_early,3,,False,5,1,7
1000000000000000,M3_witness_run_odd,999999999991067,999999999991079,999999999991099,,,no_selection,10,no_unmarked_candidate_in_materialized_stream,False,5,3,7
1000000000000000,M4_witness_run_odd_resclosed,999999999991067,999999999991079,999999999991099,,,no_selection,10,no_unmarked_candidate_in_materialized_stream,False,5,3,7
1000000000000000,M1_visible_run_all,999999999991099,999999999991103,999999999991127,999999999991121,-6,selected_too_early,17,,False,5,4,6
1000000000000000,M2_visible_run_odd,999999999991099,999999999991103,999999999991127,999999999991121,-6,selected_too_early,8,,False,5,3,6
1000000000000000,M3_witness_run_odd,999999999991099,999999999991103,999999999991127,,,no_selection,12,no_unmarked_candidate_in_materialized_stream,False,5,4,6
1000000000000000,M4_witness_run_odd_resclosed,999999999991099,999999999991103,999999999991127,,,no_selection,12,no_unmarked_candidate_in_materialized_stream,False,5,4,6
1000000000000000,M1_visible_run_all,999999999991127,999999999991151,999999999991189,999999999991189,0,correct,37,,False,10,7,12
1000000000000000,M2_visible_run_odd,999999999991127,999999999991151,999999999991189,999999999991189,0,correct,18,,False,10,5,12
1000000000000000,M3_witness_run_odd,999999999991127,999999999991151,999999999991189,,,no_selection,19,no_unmarked_candidate_in_materialized_stream,False,10,5,12
1000000000000000,M4_witness_run_odd_resclosed,999999999991127,999999999991151,999999999991189,,,no_selection,19,no_unmarked_candidate_in_materialized_stream,False,10,5,12
1000000000000000,M1_visible_run_all,999999999991189,999999999991217,999999999991243,999999999991219,-24,selected_too_early,1,,False,3,0,5
1000000000000000,M2_visible_run_odd,999999999991189,999999999991217,999999999991243,,,no_selection,0,first_candidate_unmarked,False,5,0,5
1000000000000000,M3_witness_run_odd,999999999991189,999999999991217,999999999991243,,,no_selection,13,no_unmarked_candidate_in_materialized_stream,False,3,2,5
1000000000000000,M4_witness_run_odd_resclosed,999999999991189,999999999991217,999999999991243,,,no_selection,13,no_unmarked_candidate_in_materialized_stream,False,3,2,5
1000000000000000,M1_visible_run_all,999999999991411,999999999991429,999999999991441,999999999991441,0,correct,11,,True,3,3,5
1000000000000000,M2_visible_run_odd,999999999991411,999999999991429,999999999991441,999999999991441,0,correct,5,,False,3,2,5
1000000000000000,M3_witness_run_odd,999999999991411,999999999991429,999999999991441,,,no_selection,6,no_unmarked_candidate_in_materialized_stream,False,3,2,5
1000000000000000,M4_witness_run_odd_resclosed,999999999991411,999999999991429,999999999991441,,,no_selection,6,no_unmarked_candidate_in_materialized_stream,False,3,2,5
1000000000000000,M1_visible_run_all,999999999991451,999999999991459,999999999991483,999999999991469,-14,selected_too_early,9,,False,6,3,7
1000000000000000,M2_visible_run_odd,999999999991451,999999999991459,999999999991483,999999999991469,-14,selected_too_early,4,,False,6,2,7
1000000000000000,M3_witness_run_odd,999999999991451,999999999991459,999999999991483,,,no_selection,12,no_unmarked_candidate_in_materialized_stream,False,6,2,7
1000000000000000,M4_witness_run_odd_resclosed,999999999991451,999999999991459,999999999991483,,,no_selection,12,no_unmarked_candidate_in_materialized_stream,False,6,2,7
1000000000000000,M1_visible_run_all,999999999991523,999999999991549,999999999991621,999999999991591,-30,selected_too_early,41,,False,13,9,15
1000000000000000,M2_visible_run_odd,999999999991523,999999999991549,999999999991621,999999999991591,-30,selected_too_early,20,,False,13,8,15
1000000000000000,M3_witness_run_odd,999999999991523,999999999991549,999999999991621,,,no_selection,36,no_unmarked_candidate_in_materialized_stream,False,13,8,15
1000000000000000,M4_witness_run_odd_resclosed,999999999991523,999999999991549,999999999991621,,,no_selection,36,no_unmarked_candidate_in_materialized_stream,False,13,8,15
1000000000000000,M1_visible_run_all,999999999991621,999999999991673,999999999991679,999999999991679,0,correct,5,,True,2,2,3
1000000000000000,M2_visible_run_odd,999999999991621,999999999991673,999999999991679,999999999991679,0,correct,2,,False,2,1,3
1000000000000000,M3_witness_run_odd,999999999991621,999999999991673,999999999991679,,,no_selection,3,no_unmarked_candidate_in_materialized_stream,False,2,1,3
1000000000000000,M4_witness_run_odd_resclosed,999999999991621,999999999991673,999999999991679,,,no_selection,3,no_unmarked_candidate_in_materialized_stream,False,2,1,3
1000000000000000,M1_visible_run_all,999999999991697,999999999991703,999999999991721,999999999991721,0,correct,17,,False,4,2,6
1000000000000000,M2_visible_run_odd,999999999991697,999999999991703,999999999991721,999999999991721,0,correct,8,,False,4,1,6
1000000000000000,M3_witness_run_odd,999999999991697,999999999991703,999999999991721,,,no_selection,9,no_unmarked_candidate_in_materialized_stream,False,4,1,6
1000000000000000,M4_witness_run_odd_resclosed,999999999991697,999999999991703,999999999991721,,,no_selection,9,no_unmarked_candidate_in_materialized_stream,False,4,1,6
1000000000000000,M1_visible_run_all,999999999991793,999999999991813,999999999991823,999999999991823,0,correct,9,,False,3,2,4
1000000000000000,M2_visible_run_odd,999999999991793,999999999991813,999999999991823,999999999991823,0,correct,4,,False,3,2,4
1000000000000000,M3_witness_run_odd,999999999991793,999999999991813,999999999991823,,,no_selection,5,no_unmarked_candidate_in_materialized_stream,False,3,2,4
1000000000000000,M4_witness_run_odd_resclosed,999999999991793,999999999991813,999999999991823,,,no_selection,5,no_unmarked_candidate_in_materialized_stream,False,3,2,4
1000000000000000,M1_visible_run_all,999999999991823,999999999991831,999999999991847,999999999991843,-4,selected_too_early,11,,True,4,4,5
1000000000000000,M2_visible_run_odd,999999999991823,999999999991831,999999999991847,999999999991843,-4,selected_too_early,5,,False,4,2,5
