surface_group,previous_state,previous_family,root_load_band,count,next_triad_share
baseline_1e6,o2_even_semiprime|d<=4,even_semiprime,1to3,465,0.610752688172043
baseline_1e6,o2_even_semiprime|d<=4,even_semiprime,3to10,296,0.5641891891891891
baseline_1e6,o2_even_semiprime|d<=4,even_semiprime,ge10,125,0.56
baseline_1e6,o2_even_semiprime|d<=4,even_semiprime,lt1,655,0.5755725190839694
baseline_1e6,o2_higher_divisor_even|17<=d<=64,higher_divisor_even,1to3,1277,0.572435395458105
baseline_1e6,o2_higher_divisor_even|17<=d<=64,higher_divisor_even,3to10,742,0.5835579514824798
baseline_1e6,o2_higher_divisor_even|17<=d<=64,higher_divisor_even,ge10,360,0.5416666666666666
baseline_1e6,o2_higher_divisor_even|17<=d<=64,higher_divisor_even,lt1,1456,0.5714285714285714
baseline_1e6,o2_higher_divisor_even|5<=d<=16,higher_divisor_even,1to3,694,0.5922190201729106
baseline_1e6,o2_higher_divisor_even|5<=d<=16,higher_divisor_even,3to10,406,0.5714285714285714
baseline_1e6,o2_higher_divisor_even|5<=d<=16,higher_divisor_even,ge10,202,0.5841584158415841
baseline_1e6,o2_higher_divisor_even|5<=d<=16,higher_divisor_even,lt1,832,0.5997596153846154
baseline_1e6,o2_higher_divisor_even|d>64,higher_divisor_even,1to3,285,0.5578947368421052
baseline_1e6,o2_higher_divisor_even|d>64,higher_divisor_even,3to10,152,0.6052631578947368
baseline_1e6,o2_higher_divisor_even|d>64,higher_divisor_even,ge10,68,0.7058823529411765
baseline_1e6,o2_higher_divisor_even|d>64,higher_divisor_even,lt1,283,0.5830388692579506
baseline_1e6,o2_higher_divisor_odd|5<=d<=16,higher_divisor_odd,1to3,290,0.5206896551724138
baseline_1e6,o2_higher_divisor_odd|5<=d<=16,higher_divisor_odd,3to10,157,0.6242038216560509
baseline_1e6,o2_higher_divisor_odd|5<=d<=16,higher_divisor_odd,ge10,88,0.5113636363636364
baseline_1e6,o2_higher_divisor_odd|5<=d<=16,higher_divisor_odd,lt1,391,0.5728900255754475
baseline_1e6,o2_odd_semiprime|d<=4,odd_semiprime,1to3,4081,0.581230090664053
baseline_1e6,o2_odd_semiprime|d<=4,odd_semiprime,3to10,2452,0.5664763458401305
baseline_1e6,o2_odd_semiprime|d<=4,odd_semiprime,ge10,1140,0.5578947368421052
baseline_1e6,o2_odd_semiprime|d<=4,odd_semiprime,lt1,5174,0.5742172400463857
baseline_1e6,o2_prime_cube|d<=4,prime_cube,1to3,1,0.0
baseline_1e6,o2_prime_cube|d<=4,prime_cube,ge10,2,0.5
baseline_1e6,o2_prime_square|d<=4,prime_square,1to3,19,0.6842105263157895
baseline_1e6,o2_prime_square|d<=4,prime_square,3to10,3,0.6666666666666666
baseline_1e6,o2_prime_square|d<=4,prime_square,lt1,29,0.3793103448275862
baseline_1e6,o4_even_semiprime|d<=4,even_semiprime,1to3,1443,0.5821205821205822
baseline_1e6,o4_even_semiprime|d<=4,even_semiprime,3to10,848,0.5707547169811321
