model_id,effective_state_count,pooled_window_concentration_l1,one_step_concentration,two_step_concentration,three_step_concentration,family_l1_to_real_pool,peak_offset_l1_to_real_pool,higher_divisor_share_error,description
first_order_rotor,14,0.0317029921135179,0.2852042852042852,0.2976945953891908,0.3113769341308024,0.0693127521079258,0.16518821697582914,0.014370372119168084,Baseline first-order rotor over reduced states.
second_order_rotor,167,0.13895373778359438,0.2849342849342849,0.33449066898133795,0.3477600432801298,0.06924275210792583,0.16568421697582913,0.014523372119168071,Baseline persistent second-order rotor.
lag2_state_scheduler,803,0.020139605665438043,0.284995284995285,0.33453166906333814,0.4900134700404101,0.06750675210792581,0.1648222169758291,0.013739372119168064,Finite scheduler whose phase is the reduced state two steps back.
mod_cycle_scheduler,759,0.024940544952419874,0.2861712861712862,0.33524567049134096,0.3957321871965616,0.06698675210792583,0.16408021697582914,0.01403237211916808,Simple 8-phase modulo scheduler over the second-order core.
hybrid_lag2_mod8_scheduler,1782,0.01715133199971186,0.2861102861102861,0.3376516753033506,0.49658548975646927,0.05867275210792576,0.16053820910623945,0.010455372119168083,Hybrid lag-2 plus 8-phase modulo scheduler with no explicit reset.
hybrid_lag2_mod8_reset_hdiv_scheduler,1239,0.017405639008483798,0.28467228467228467,0.33423966847933695,0.4929004787014361,0.06667875210792579,0.16444621697582915,0.013576372119168068,Hybrid lag-2 plus 8-phase modulo scheduler with higher-divisor resets.
hybrid_lag2_mod8_reset_nontriad_scheduler,965,0.01162713706776941,0.2837872837872838,0.33521967043934087,0.4907304721914166,0.06706075210792577,0.1643742169758291,0.012595372119168058,Hybrid lag-2 plus 8-phase modulo scheduler with non-triad resets.
hidden_state_augmented_rotor,167,0.02842308243374414,0.28494728494728494,0.33450666901333803,0.3479460438381315,0.06930075210792586,0.1648382169758291,0.014543372119168063,Second-order rotor with `current_winner_parity+previous_reduced_state` as an extra hidden-state label.
hidden_state_phase_scheduler,387,0.28668353800768204,0.3490833490833491,0.4015268030536061,0.4797024391073173,0.4418212478920742,0.469226682405846,0.09274862788083194,Lag-2 style scheduler whose phase is the previous `current_winner_parity+previous_reduced_state` label.
hidden_state_reset_scheduler,759,0.026483591458484446,0.2861922861922862,0.335240670481341,0.39551618654855963,0.06702875210792583,0.16633020910623947,0.014053372119168073,Hybrid reset scheduler whose reset trigger is the best `current_winner_parity+previous_reduced_state` label `odd|o2_higher_divisor_odd|17<=d<=64`.
