scale,window_mode,seed,window_size,window_count,gap_count,counterexample_count,match_rate,max_gap,min_log_score_margin,runtime_seconds
100000000,even-window,None,2000000,4,444133,0,1.0,176,1.0000015038258425e-08,10.766296125017107
100000000,seeded-window,20260331,2000000,4,415991,0,1.0,182,1.072191579964965e-08,10.907252789940685
100000000,seeded-window,20260401,2000000,4,412274,0,1.0,180,1.0779640291502801e-08,10.990010457579046
1000000000,even-window,None,2000000,4,411157,0,1.0,192,1.000000082740371e-09,11.26755391759798
1000000000,seeded-window,20260331,2000000,4,376941,0,1.0,236,1.0736123101651174e-09,12.145517125260085
1000000000,seeded-window,20260401,2000000,4,368768,0,1.0,212,1.0795062621582474e-09,12.30089541664347
10000000000,even-window,None,2000000,4,384721,0,1.0,288,9.99982319171977e-11,12.326649084221572
10000000000,seeded-window,20260331,2000000,4,331375,0,1.0,236,1.0737366551438754e-10,13.973324374761432
10000000000,seeded-window,20260401,2000000,4,341830,0,1.0,236,1.2928325077155023e-10,13.296574622858316
100000000000,even-window,None,2000000,4,362773,0,1.0,268,9.99733629214461e-12,13.286817708052695
100000000000,seeded-window,20260331,2000000,4,303102,0,1.0,272,1.0736300737335114e-11,15.029016374610364
100000000000,seeded-window,20260401,2000000,4,311023,0,1.0,254,1.2928325077155023e-11,14.604460708796978
1000000000000,even-window,None,2000000,4,344454,0,1.0,306,9.983125437429408e-13,14.276094041299075
1000000000000,seeded-window,20260331,2000000,4,278200,0,1.0,288,1.0729195309977513e-12,16.358180582523346
1000000000000,seeded-window,20260401,2000000,4,285778,0,1.0,356,1.2896350654045818e-12,15.987685126252472
