candidate_id,primitive_count,candidate_cardinality,row_count,baseline_log_loss,candidate_log_loss,log_loss_gain,matched_next_triad_lift,within_triad_lane_l1_shift,best_label,worst_label,best_label_support,worst_label_support,best_label_triad_share,worst_label_triad_share,beats_parity_alone
current_winner_parity+previous_reduced_state,2,34,8192,0.6195376253888341,0.5623856164442926,0.05715200894454142,1.0,1.0,odd|o2_higher_divisor_odd|17<=d<=64,even|o4_higher_divisor_odd|17<=d<=64,1,1,1.0,0.0,True
current_winner_offset,1,39,8192,0.6195376253888341,0.5723324562747565,0.04720516911407757,0.6428571428571428,1.2,36,21,3,14,1.0,0.35714285714285715,True
current_winner_parity+current_winner_offset,2,39,8192,0.6195376253888341,0.5723324562747565,0.04720516911407757,0.6428571428571428,1.2,odd|36,even|21,3,14,1.0,0.35714285714285715,True
previous_reduced_state,1,18,8192,0.6195376253888341,0.5784649489764169,0.041072676412417186,1.0,1.0,o2_higher_divisor_odd|17<=d<=64,o6_higher_divisor_odd|17<=d<=64,1,1,1.0,0.0,True
previous_carrier_family,1,4,8192,0.6195376253888341,0.6016002687264966,0.017937356662337423,0.043804338768367534,0.16186135192301962,even_semiprime,higher_divisor_odd,973,777,0.6885919835560124,0.6447876447876448,True
current_carrier_family,1,4,8192,0.6195376253888341,0.6107724114244554,0.008765213964378682,0.05312909182949144,0.1753934620073514,higher_divisor_even,higher_divisor_odd,909,778,0.7073707370737073,0.6542416452442159,True
current_winner_parity+current_carrier_family,2,4,8192,0.6195376253888341,0.6107724114244554,0.008765213964378682,0.05312909182949144,0.1753934620073514,even|higher_divisor_even,odd|higher_divisor_odd,909,778,0.7073707370737073,0.6542416452442159,True
previous_winner_parity,1,2,8192,0.6195376253888341,0.6121423354820017,0.0073952899068323585,0.0026688740271922917,0.011137696976395106,even,odd,1882,6310,0.677470775770457,0.6748019017432647,True
current_winner_parity,1,2,8192,0.6195376253888341,0.6138591525532499,0.005678472835584203,0.034879901770627164,0.08617352965069341,even,odd,1881,6311,0.7022860180754917,0.6674061163048646,False
current_d_bucket,1,4,8192,0.6195376253888341,0.6169648523784916,0.002572773010342422,0.038174504746231075,0.780643688655558,d>64,d<=4,163,6505,0.7116564417177914,0.6734819369715603,False
