power,gap_width,first_open_offset,even_count,odd_count,matched_weight,even_next_triad_share,odd_next_triad_share,even_minus_odd_next_triad_share,even_o2_share,odd_o2_share,even_o4_share,odd_o4_share,even_o6_share,odd_o6_share
12,4,4,56,38,38,0.7321428571428571,0.631578947368421,0.10056390977443608,0.4107142857142857,0.39473684210526316,0.0,0.0,0.32142857142857145,0.23684210526315788
12,6,2,13,41,13,0.7692307692307693,0.7317073170731707,0.03752345215759856,0.6153846153846154,0.36585365853658536,0.0,0.0,0.15384615384615385,0.36585365853658536
12,6,4,16,31,16,0.8125,0.8064516129032258,0.006048387096774244,0.0,0.0,0.8125,0.8064516129032258,0.0,0.0
12,6,6,27,40,27,0.7407407407407407,0.65,0.09074074074074068,0.4074074074074074,0.475,0.3333333333333333,0.175,0.0,0.0
12,8,2,12,48,12,0.5833333333333334,0.6041666666666666,-0.02083333333333326,0.0,0.0,0.5833333333333334,0.6041666666666666,0.0,0.0
12,8,6,11,23,11,0.6363636363636364,0.5652173913043478,0.07114624505928857,0.0,0.0,0.0,0.0,0.6363636363636364,0.5652173913043478
12,10,4,27,58,27,0.5555555555555556,0.6379310344827587,-0.0823754789272031,0.3333333333333333,0.46551724137931033,0.0,0.0,0.2222222222222222,0.1724137931034483
12,10,6,7,18,7,0.7142857142857143,0.5555555555555556,0.15873015873015872,0.7142857142857143,0.5555555555555556,0.0,0.0,0.0,0.0
12,12,2,15,73,15,0.6,0.6712328767123288,-0.07123287671232881,0.26666666666666666,0.4657534246575342,0.0,0.0,0.3333333333333333,0.2054794520547945
12,12,4,11,36,11,0.7272727272727273,0.6944444444444444,0.03282828282828287,0.0,0.0,0.45454545454545453,0.3611111111111111,0.2727272727272727,0.3333333333333333
12,12,6,7,20,7,0.5714285714285714,0.65,-0.07857142857142863,0.0,0.0,0.5714285714285714,0.65,0.0,0.0
12,14,2,7,43,7,0.8571428571428571,0.7441860465116279,0.1129568106312292,0.0,0.0,0.5714285714285714,0.3488372093023256,0.2857142857142857,0.3953488372093023
12,14,6,4,30,4,0.5,0.7,-0.19999999999999996,0.0,0.0,0.5,0.7,0.0,0.0
12,16,4,12,27,12,0.75,0.5925925925925926,0.15740740740740744,0.5,0.3333333333333333,0.0,0.0,0.25,0.25925925925925924
12,16,6,6,17,6,1.0,0.7647058823529411,0.23529411764705888,1.0,0.7647058823529411,0.0,0.0,0.0,0.0
12,18,2,2,34,2,0.5,0.6176470588235294,-0.11764705882352944,0.5,0.6176470588235294,0.0,0.0,0.0,0.0
12,18,4,6,41,6,0.6666666666666666,0.7073170731707317,-0.04065040650406504,0.0,0.0,0.16666666666666666,0.3170731707317073,0.5,0.3902439024390244
12,18,6,12,29,12,0.5,0.5517241379310345,-0.051724137931034475,0.16666666666666666,0.3103448275862069,0.3333333333333333,0.2413793103448276,0.0,0.0
12,20,2,3,49,3,1.0,0.7551020408163265,0.24489795918367352,0.0,0.0,0.3333333333333333,0.5510204081632653,0.6666666666666666,0.20408163265306123
12,20,6,4,14,4,0.5,0.6428571428571429,-0.1428571428571429,0.0,0.0,0.5,0.6428571428571429,0.0,0.0
12,22,4,7,39,7,0.7142857142857143,0.6923076923076923,0.02197802197802201,0.7142857142857143,0.6923076923076923,0.0,0.0,0.0,0.0
12,22,6,5,18,5,0.8,0.6111111111111112,0.18888888888888888,0.0,0.0,0.0,0.0,0.8,0.6111111111111112
12,24,2,1,21,1,0.0,0.7142857142857143,-0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855
12,24,4,5,25,5,0.4,0.56,-0.16000000000000003,0.0,0.0,0.4,0.36,0.0,0.2
12,24,6,4,10,4,0.75,0.7,0.050000000000000044,0.75,0.7,0.0,0.0,0.0,0.0
12,26,2,2,21,2,0.5,0.7142857142857143,-0.2142857142857143,0.0,0.0,0.5,0.7142857142857143,0.0,0.0
12,26,6,5,12,5,0.8,0.75,0.050000000000000044,0.0,0.0,0.8,0.75,0.0,0.0
12,28,4,6,30,6,0.6666666666666666,0.5333333333333333,0.1333333333333333,0.6666666666666666,0.5333333333333333,0.0,0.0,0.0,0.0
12,28,6,2,17,2,0.5,0.7058823529411765,-0.20588235294117652,0.5,0.7058823529411765,0.0,0.0,0.0,0.0
12,30,2,4,35,4,0.75,0.7714285714285715,-0.021428571428571463,0.75,0.7714285714285715,0.0,0.0,0.0,0.0
12,30,4,5,36,5,1.0,0.6388888888888888,0.36111111111111116,0.0,0.0,1.0,0.6388888888888888,0.0,0.0
12,30,6,6,17,6,0.3333333333333333,0.5882352941176471,-0.25490196078431376,0.0,0.0,0.0,0.0,0.3333333333333333,0.5882352941176471
12,34,4,8,26,8,0.625,0.6153846153846154,0.009615384615384581,0.375,0.4230769230769231,0.0,0.0,0.25,0.19230769230769232
12,36,4,2,12,2,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0
12,36,6,4,18,4,1.0,0.7777777777777778,0.2222222222222222,0.75,0.5,0.25,0.2777777777777778,0.0,0.0
12,38,2,1,18,1,0.0,0.6666666666666666,-0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
12,38,6,2,8,2,0.5,0.75,-0.25,0.0,0.0,0.0,0.0,0.5,0.75
