scale,window_mode,interval_lo,interval_hi,p,w,q,gap_size,winner_offset,q_offset,winner_d,S_plus_w,square_threat_distance,margin,closure_utilization,log_score_w
100000000000000000,even,2,2000002,344543,344545,344567,24,2,24,4,344569,24,2,0.9166666666666666,-12.749979984998154
1000000000000000000,even,2,2000002,344543,344545,344567,24,2,24,4,344569,24,2,0.9166666666666666,-12.749979984998154
100000000,even,2,2000002,1142737,1142738,1142759,22,1,22,4,1142761,23,2,0.9130434782608695,-13.948937695154388
1000000000,even,2,2000002,1142737,1142738,1142759,22,1,22,4,1142761,23,2,0.9130434782608695,-13.948937695154388
10000000000,even,2,2000002,1142737,1142738,1142759,22,1,22,4,1142761,23,2,0.9130434782608695,-13.948937695154388
100000000000,even,2,2000002,1142737,1142738,1142759,22,1,22,4,1142761,23,2,0.9130434782608695,-13.948937695154388
1000000000000,even,2,2000002,1142737,1142738,1142759,22,1,22,4,1142761,23,2,0.9130434782608695,-13.948937695154388
10000000000000,even,2,2000002,1142737,1142738,1142759,22,1,22,4,1142761,23,2,0.9130434782608695,-13.948937695154388
100000000000000,even,2,2000002,1142737,1142738,1142759,22,1,22,4,1142761,23,2,0.9130434782608695,-13.948937695154388
1000000000000000,even,2,2000002,1142737,1142738,1142759,22,1,22,4,1142761,23,2,0.9130434782608695,-13.948937695154388
10000000000000000,even,2,2000002,1142737,1142738,1142759,22,1,22,4,1142761,23,2,0.9130434782608695,-13.948937695154388
100000000000000000,even,2,2000002,1142737,1142738,1142759,22,1,22,4,1142761,23,2,0.9130434782608695,-13.948937695154388
1000000000000000000,even,2,2000002,1142737,1142738,1142759,22,1,22,4,1142761,23,2,0.9130434782608695,-13.948937695154388
100000000,even,2,2000002,1026143,1026147,1026167,24,4,24,4,1026169,22,2,0.9090909090909091,-13.841321569303792
1000000000,even,2,2000002,1026143,1026147,1026167,24,4,24,4,1026169,22,2,0.9090909090909091,-13.841321569303792
10000000000,even,2,2000002,1026143,1026147,1026167,24,4,24,4,1026169,22,2,0.9090909090909091,-13.841321569303792
100000000000,even,2,2000002,1026143,1026147,1026167,24,4,24,4,1026169,22,2,0.9090909090909091,-13.841321569303792
1000000000000,even,2,2000002,1026143,1026147,1026167,24,4,24,4,1026169,22,2,0.9090909090909091,-13.841321569303792
10000000000000,even,2,2000002,1026143,1026147,1026167,24,4,24,4,1026169,22,2,0.9090909090909091,-13.841321569303792
100000000000000,even,2,2000002,1026143,1026147,1026167,24,4,24,4,1026169,22,2,0.9090909090909091,-13.841321569303792
1000000000000000,even,2,2000002,1026143,1026147,1026167,24,4,24,4,1026169,22,2,0.9090909090909091,-13.841321569303792
10000000000000000,even,2,2000002,1026143,1026147,1026167,24,4,24,4,1026169,22,2,0.9090909090909091,-13.841321569303792
100000000000000000,even,2,2000002,1026143,1026147,1026167,24,4,24,4,1026169,22,2,0.9090909090909091,-13.841321569303792
1000000000000000000,even,2,2000002,1026143,1026147,1026167,24,4,24,4,1026169,22,2,0.9090909090909091,-13.841321569303792
1000000,exact,2,1000001,17137,17141,17159,22,4,22,4,17161,20,2,0.9,-9.749228533507058
100000000,even,2,2000002,17137,17141,17159,22,4,22,4,17161,20,2,0.9,-9.749228533507058
1000000000,even,2,2000002,17137,17141,17159,22,4,22,4,17161,20,2,0.9,-9.749228533507058
10000000000,even,2,2000002,17137,17141,17159,22,4,22,4,17161,20,2,0.9,-9.749228533507058
100000000000,even,2,2000002,17137,17141,17159,22,4,22,4,17161,20,2,0.9,-9.749228533507058
1000000000000,even,2,2000002,17137,17141,17159,22,4,22,4,17161,20,2,0.9,-9.749228533507058
10000000000000,even,2,2000002,17137,17141,17159,22,4,22,4,17161,20,2,0.9,-9.749228533507058
100000000000000,even,2,2000002,17137,17141,17159,22,4,22,4,17161,20,2,0.9,-9.749228533507058
1000000000000000,even,2,2000002,17137,17141,17159,22,4,22,4,17161,20,2,0.9,-9.749228533507058
10000000000000000,even,2,2000002,17137,17141,17159,22,4,22,4,17161,20,2,0.9,-9.749228533507058
