scale,anchor_p,seed,q_for_audit_only,candidate,is_q_for_audit_only,distance_from_seed,visible_open_index,visible_closed_before,distance_on_lambert_ladder,closed_prefix_on_lambert_ladder
1000000000000,999999999989,1000000000007,1000000000039,1000000000039,True,32,1,31,False,False
1000000000000,999999999961,999999999967,999999999989,999999999989,True,22,1,21,True,False
1000000000000,999999999863,999999999871,999999999877,999999999877,True,6,1,5,True,False
1000000000000,999999999767,999999999781,999999999847,999999999787,False,6,1,5,True,False
1000000000000,999999999767,999999999781,999999999847,999999999793,False,12,2,10,False,True
1000000000000,999999999767,999999999781,999999999847,999999999809,False,28,3,25,False,False
1000000000000,999999999767,999999999781,999999999847,999999999811,False,30,4,26,True,True
1000000000000,999999999767,999999999781,999999999847,999999999829,False,48,5,43,False,False
1000000000000,999999999767,999999999781,999999999847,999999999839,False,58,6,52,True,False
1000000000000,999999999767,999999999781,999999999847,999999999847,True,66,7,59,True,False
1000000000000,999999999707,999999999743,999999999767,999999999751,False,8,1,7,False,False
1000000000000,999999999707,999999999743,999999999767,999999999767,True,24,2,22,False,True
1000000000000,999999999617,999999999641,999999999673,999999999667,False,26,1,25,True,False
1000000000000,999999999617,999999999641,999999999673,999999999671,False,30,2,28,True,False
1000000000000,999999999617,999999999641,999999999673,999999999673,True,32,3,29,False,False
1000000000000,999999999577,999999999587,999999999589,999999999589,True,2,1,1,True,False
1000000000000,999999999529,999999999541,999999999571,999999999547,False,6,1,5,True,False
1000000000000,999999999529,999999999541,999999999571,999999999571,True,30,2,28,True,False
1000000000000,999999999391,999999999419,999999999457,999999999457,True,38,1,37,True,False
1000000000000,999999999331,999999999337,999999999359,999999999359,True,22,1,21,True,False
1000000000000,999999999287,999999999289,999999999293,999999999293,True,4,1,3,False,False
1000000000000,999999999161,999999999209,999999999247,999999999223,False,14,1,13,True,False
1000000000000,999999999161,999999999209,999999999247,999999999247,True,38,2,36,True,False
1000000000000,999999999143,999999999151,999999999161,999999999161,True,10,1,9,True,False
1000000000000,999999998867,999999998869,999999998939,999999998897,False,28,1,27,False,False
1000000000000,999999998867,999999998869,999999998939,999999998939,True,70,2,68,True,False
1000000000000,999999998801,999999998813,999999998821,999999998821,True,8,1,7,False,False
1000000000000,999999998611,999999998623,999999998713,999999998639,False,16,1,15,False,False
1000000000000,999999998611,999999998623,999999998713,999999998677,False,54,2,52,True,False
1000000000000,999999998611,999999998623,999999998713,999999998681,False,58,3,55,True,False
1000000000000,999999998611,999999998623,999999998713,999999998713,True,90,4,86,True,True
1000000000000,999999998533,999999998537,999999998567,999999998551,False,14,1,13,True,False
1000000000000,999999998533,999999998537,999999998567,999999998563,False,26,2,24,True,False
1000000000000,999999998533,999999998537,999999998567,999999998567,True,30,3,27,True,False
1000000000000,999999998513,999999998521,999999998527,999999998527,True,6,1,5,True,False
1000000000000,999999998461,999999998479,999999998497,999999998497,True,18,1,17,True,False
1000000000000,999999998401,999999998411,999999998429,999999998419,False,8,1,7,False,False
1000000000000,999999998401,999999998411,999999998429,999999998429,True,18,2,16,True,False
1000000000000,999999998311,999999998381,999999998399,999999998399,True,18,1,17,True,False
1000000000000,999999998237,999999998243,999999998281,999999998279,False,36,1,35,False,False
1000000000000,999999998237,999999998243,999999998281,999999998281,True,38,2,36,True,False
1000000000000,999999998227,999999998233,999999998237,999999998237,True,4,1,3,False,False
1000000000000,999999998203,999999998209,999999998227,999999998227,True,18,1,17,True,False
1000000000000,999999998183,999999998189,999999998191,999999998191,True,2,1,1,True,False
1000000000000,999999998069,999999998089,999999998141,999999998099,False,10,1,9,True,False
1000000000000,999999998069,999999998089,999999998141,999999998141,True,52,2,50,False,True
1000000000000,999999998021,999999998027,999999998047,999999998033,False,6,1,5,True,False
1000000000000,999999998021,999999998027,999999998047,999999998047,True,20,2,18,False,True
1000000000000,999999997939,999999997949,999999998021,999999997951,False,2,1,1,True,False
1000000000000,999999997939,999999997949,999999998021,999999997967,False,18,2,16,True,False
1000000000000,999999997939,999999997949,999999998021,999999997991,False,42,3,39,True,False
1000000000000,999999997939,999999997949,999999998021,999999998021,True,72,4,68,False,False
1000000000000,999999997831,999999997849,999999997907,999999997861,False,12,1,11,False,False
1000000000000,999999997831,999999997849,999999997907,999999997877,False,28,2,26,False,True
1000000000000,999999997831,999999997849,999999997907,999999997883,False,34,3,31,True,False
1000000000000,999999997831,999999997849,999999997907,999999997889,False,40,4,36,False,False
1000000000000,999999997831,999999997849,999999997907,999999997907,True,58,5,53,True,False
1000000000000,999999997679,999999997699,999999997721,999999997721,True,22,1,21,True,False
1000000000000,999999997589,999999997597,999999997603,999999997603,True,6,1,5,True,False
1000000000000,999999997517,999999997553,999999997589,999999997567,False,14,1,13,True,False
1000000000000,999999997517,999999997553,999999997589,999999997589,True,36,2,34,False,True
1000000000000,999999997459,999999997463,999999997517,999999997487,False,24,1,23,False,False
1000000000000,999999997459,999999997463,999999997517,999999997501,False,38,2,36,True,False
1000000000000,999999997459,999999997463,999999997517,999999997511,False,48,3,45,False,False
1000000000000,999999997459,999999997463,999999997517,999999997517,True,54,4,50,True,True
1000000000000,999999997433,999999997439,999999997459,999999997453,False,14,1,13,True,False
1000000000000,999999997433,999999997439,999999997459,999999997459,True,20,2,18,False,True
1000000000000,999999997397,999999997429,999999997433,999999997433,True,4,1,3,False,False
1000000000000,999999997391,999999997393,999999997397,999999997397,True,4,1,3,False,False
1000000000000,999999997343,999999997351,999999997391,999999997363,False,12,1,11,False,False
1000000000000,999999997343,999999997351,999999997391,999999997379,False,28,2,26,False,True
1000000000000,999999997343,999999997351,999999997391,999999997391,True,40,3,37,False,False
1000000000000,999999997277,999999997307,999999997327,999999997327,True,20,1,19,False,False
1000000000000,999999997201,999999997223,999999997259,999999997253,False,30,1,29,True,False
1000000000000,999999997201,999999997223,999999997259,999999997259,True,36,2,34,False,True
1000000000000,999999997163,999999997189,999999997201,999999997201,True,12,1,11,False,False
1000000000000,999999997147,999999997151,999999997163,999999997163,True,12,1,11,False,False
1000000000000,999999997103,999999997121,999999997147,999999997133,False,12,1,11,False,False
1000000000000,999999997103,999999997121,999999997147,999999997147,True,26,2,24,True,False
1000000000000,999999997013,999999997093,999999997103,999999997099,False,6,1,5,True,False
1000000000000,999999997013,999999997093,999999997103,999999997103,True,10,2,8,True,False
1000000000000,999999996901,999999996949,999999996977,999999996977,True,28,1,27,False,False
1000000000000,999999996881,999999996887,999999996889,999999996889,True,2,1,1,True,False
1000000000000,999999996823,999999996833,999999996881,999999996871,False,38,1,37,True,False
1000000000000,999999996823,999999996833,999999996881,999999996881,True,48,2,46,False,True
1000000000000,999999996701,999999996727,999999996739,999999996739,True,12,1,11,False,False
1000000000000,999999996581,999999996599,999999996601,999999996601,True,2,1,1,True,False
1000000000000,999999996473,999999996511,999999996581,999999996533,False,22,1,21,True,False
1000000000000,999999996473,999999996511,999999996581,999999996581,True,70,2,68,True,False
1000000000000,999999996371,999999996419,999999996449,999999996449,True,30,1,29,True,False
1000000000000,999999996211,999999996217,999999996223,999999996223,True,6,1,5,True,False
1000000000000,999999996137,999999996173,999999996197,999999996197,True,24,1,23,False,False
1000000000000,999999996097,999999996133,999999996137,999999996137,True,4,1,3,False,False
1000000000000,999999995993,999999996011,999999996097,999999996019,False,8,1,7,False,False
1000000000000,999999995993,999999996011,999999996097,999999996071,False,60,2,58,False,True
1000000000000,999999995993,999999996011,999999996097,999999996089,False,78,3,75,True,False
1000000000000,999999995993,999999996011,999999996097,999999996091,False,80,4,76,False,False
1000000000000,999999995993,999999996011,999999996097,999999996097,True,86,5,81,True,False
1000000000000,999999995899,999999995909,999999995933,999999995933,True,24,1,23,False,False
1000000000000,999999995773,999999995837,999999995857,999999995857,True,20,1,19,False,False
1000000000000,999999995653,999999995681,999999995711,999999995689,False,8,1,7,False,False
1000000000000,999999995653,999999995681,999999995711,999999995693,False,12,2,10,False,True
1000000000000,999999995653,999999995681,999999995711,999999995711,True,30,3,27,True,False
1000000000000,999999995581,999999995591,999999995653,999999995609,False,18,1,17,True,False
1000000000000,999999995581,999999995591,999999995653,999999995629,False,38,2,36,True,False
1000000000000,999999995581,999999995591,999999995653,999999995639,False,48,3,45,False,False
1000000000000,999999995581,999999995591,999999995653,999999995641,False,50,4,46,True,True
1000000000000,999999995581,999999995591,999999995653,999999995653,True,62,5,57,True,False
1000000000000,999999995537,999999995539,999999995573,999999995549,False,10,1,9,True,False
1000000000000,999999995537,999999995539,999999995573,999999995573,True,34,2,32,True,False
1000000000000,999999995497,999999995521,999999995537,999999995537,True,16,1,15,False,False
1000000000000,999999995429,999999995441,999999995461,999999995461,True,20,1,19,False,False
1000000000000,999999995383,999999995389,999999995413,999999995413,True,24,1,23,False,False
1000000000000,999999995237,999999995257,999999995299,999999995299,True,42,1,41,True,False
1000000000000,999999995207,999999995233,999999995237,999999995237,True,4,1,3,False,False
1000000000000,999999995177,999999995201,999999995207,999999995207,True,6,1,5,True,False
1000000000000,999999995147,999999995149,999999995177,999999995171,False,22,1,21,True,False
1000000000000,999999995147,999999995149,999999995177,999999995177,True,28,2,26,False,True
1000000000000,999999995131,999999995143,999999995147,999999995147,True,4,1,3,False,False
1000000000000,999999994909,999999994919,999999994937,999999994937,True,18,1,17,True,False
1000000000000,999999994897,999999994907,999999994909,999999994909,True,2,1,1,True,False
1000000000000,999999994823,999999994871,999999994897,999999994897,True,26,1,25,True,False
1000000000000,999999994781,999999994783,999999994793,999999994793,True,10,1,9,True,False
1000000000000,999999994769,999999994771,999999994781,999999994781,True,10,1,9,True,False
1000000000000,999999994729,999999994753,999999994769,999999994769,True,16,1,15,False,False
1000000000000,999999994687,999999994723,999999994729,999999994729,True,6,1,5,True,False
1000000000000,999999994639,999999994661,999999994687,999999994687,True,26,1,25,True,False
1000000000000,999999994583,999999994601,999999994603,999999994603,True,2,1,1,True,False
