scale,q_distance_on_lambert_ladder,q_closed_prefix_on_lambert_ladder,rows
1000000000000,False,False,32
1000000000000,False,True,11
1000000000000,True,False,55
1000000000000,True,True,4
1000000000000000,False,False,47
1000000000000000,False,True,16
1000000000000000,True,False,72
1000000000000000,True,True,6
1000000000000000000,False,False,51
1000000000000000000,False,True,18
1000000000000000000,True,False,69
1000000000000000000,True,True,7
