scale,rule_id,bound_mode,anchor_p,seed_q0,true_q_for_audit_only,upper_bound,true_in_square_grid,true_square_grid_k,selected_q,selected_square_grid_k,failure_mode,selected_delta_from_true,grid_count_checked,materialized_witness_count,did_evaluate,failure_reason
1000000000000,materialized_witnesses,anchor_bound,999999999989,1000000000007,1000000000039,1000000000117,False,,,,no_selection,,55,0,False,missing_materialized_candidate_rows
1000000000000,materialized_witnesses_wheel_open,anchor_bound,999999999989,1000000000007,1000000000039,1000000000117,False,,,,no_selection,,55,0,False,missing_materialized_candidate_rows
1000000000000,visible_bound_all,anchor_bound,999999999989,1000000000007,1000000000039,1000000000117,False,,,,no_selection,,55,0,True,
1000000000000,visible_bound_all_wheel_open,anchor_bound,999999999989,1000000000007,1000000000039,1000000000117,False,,,,no_selection,,55,0,True,
1000000000000,materialized_witnesses,seed_bound,999999999989,1000000000007,1000000000039,1000000000135,False,,,,no_selection,,64,0,False,missing_materialized_candidate_rows
1000000000000,materialized_witnesses_wheel_open,seed_bound,999999999989,1000000000007,1000000000039,1000000000135,False,,,,no_selection,,64,0,False,missing_materialized_candidate_rows
1000000000000,visible_bound_all,seed_bound,999999999989,1000000000007,1000000000039,1000000000135,False,,,,no_selection,,64,0,True,
1000000000000,visible_bound_all_wheel_open,seed_bound,999999999989,1000000000007,1000000000039,1000000000135,False,,,,no_selection,,64,0,True,
1000000000000,materialized_witnesses,anchor_bound,999999999961,999999999967,999999999989,1000000000089,False,,,,no_selection,,61,0,False,missing_materialized_candidate_rows
1000000000000,materialized_witnesses_wheel_open,anchor_bound,999999999961,999999999967,999999999989,1000000000089,False,,,,no_selection,,61,0,False,missing_materialized_candidate_rows
1000000000000,visible_bound_all,anchor_bound,999999999961,999999999967,999999999989,1000000000089,False,,,,no_selection,,61,0,True,
1000000000000,visible_bound_all_wheel_open,anchor_bound,999999999961,999999999967,999999999989,1000000000089,False,,,,no_selection,,61,0,True,
1000000000000,materialized_witnesses,seed_bound,999999999961,999999999967,999999999989,1000000000095,False,,,,no_selection,,64,0,False,missing_materialized_candidate_rows
1000000000000,materialized_witnesses_wheel_open,seed_bound,999999999961,999999999967,999999999989,1000000000095,False,,,,no_selection,,64,0,False,missing_materialized_candidate_rows
1000000000000,visible_bound_all,seed_bound,999999999961,999999999967,999999999989,1000000000095,False,,,,no_selection,,64,0,True,
1000000000000,visible_bound_all_wheel_open,seed_bound,999999999961,999999999967,999999999989,1000000000095,False,,,,no_selection,,64,0,True,
