scale,sample_size,emitted_count,unresolved_count,unresolved_rate,unresolved_percent,audit_failed,accuracy_status,pgs_status,pgs_count,chain_horizon_closure_count,chain_fallback_count,fallback_count,pgs_rate,chain_horizon_closure_rate,chain_fallback_rate,fallback_rate,pgs_percent,chain_horizon_closure_percent,chain_fallback_percent,fallback_percent
1000000000000000,256,249,7,0.02734375,2.734375,0,PASS,FAILING,108,141,0,0,0.43373493975903615,0.5662650602409639,0.0,0.0,43.373493975903614,56.62650602409639,0.0,0.0
1000000000000000000,256,250,6,0.0234375,2.34375,0,PASS,FAILING,105,145,0,0,0.42,0.58,0.0,0.0,42.0,57.99999999999999,0.0,0.0
