scale,anchor_p,seed_q0,recovered_q_for_audit_only,ceiling_id,ceiling_value,ceiling_delta_from_seed,recovered_q_before_ceiling,visible_open_before_ceiling_or_bound,ceiling_exceeds_candidate_bound,terminal_is_last_visible_before_ceiling
1000000000000000,999999999999989,1000000000000003,1000000000000037,C_integer_square,1000000025191729,25191726,True,6,True,False
1000000000000000,999999999999989,1000000000000003,1000000000000037,C_odd_square,1000000025191729,25191726,True,6,True,False
1000000000000000,999999999999989,1000000000000003,1000000000000037,C_open_square,1000000025191729,25191726,True,6,True,False
1000000000000000,999999999999947,999999999999967,999999999999989,C_integer_square,1000000025191729,25191762,True,6,True,False
1000000000000000,999999999999947,999999999999967,999999999999989,C_odd_square,1000000025191729,25191762,True,6,True,False
1000000000000000,999999999999947,999999999999967,999999999999989,C_open_square,1000000025191729,25191762,True,6,True,False
1000000000000000,999999999999883,999999999999893,999999999999947,C_integer_square,1000000025191729,25191836,True,5,True,False
1000000000000000,999999999999883,999999999999893,999999999999947,C_odd_square,1000000025191729,25191836,True,5,True,False
1000000000000000,999999999999883,999999999999893,999999999999947,C_open_square,1000000025191729,25191836,True,5,True,False
1000000000000000,999999999999877,999999999999881,999999999999883,C_integer_square,1000000025191729,25191848,True,7,True,False
1000000000000000,999999999999877,999999999999881,999999999999883,C_odd_square,1000000025191729,25191848,True,7,True,False
1000000000000000,999999999999877,999999999999881,999999999999883,C_open_square,1000000025191729,25191848,True,7,True,False
1000000000000000,999999999999827,999999999999839,999999999999877,C_integer_square,1000000025191729,25191890,True,7,True,False
1000000000000000,999999999999827,999999999999839,999999999999877,C_odd_square,1000000025191729,25191890,True,7,True,False
1000000000000000,999999999999827,999999999999839,999999999999877,C_open_square,1000000025191729,25191890,True,7,True,False
1000000000000000,999999999999809,999999999999817,999999999999827,C_integer_square,1000000025191729,25191912,True,8,True,False
1000000000000000,999999999999809,999999999999817,999999999999827,C_odd_square,1000000025191729,25191912,True,8,True,False
1000000000000000,999999999999809,999999999999817,999999999999827,C_open_square,1000000025191729,25191912,True,8,True,False
1000000000000000,999999999999577,999999999999599,999999999999643,C_integer_square,1000000025191729,25192130,True,6,True,False
1000000000000000,999999999999577,999999999999599,999999999999643,C_odd_square,1000000025191729,25192130,True,6,True,False
1000000000000000,999999999999577,999999999999599,999999999999643,C_open_square,1000000025191729,25192130,True,6,True,False
1000000000000000,999999999999521,999999999999551,999999999999571,C_integer_square,1000000025191729,25192178,True,6,True,False
1000000000000000,999999999999521,999999999999551,999999999999571,C_odd_square,1000000025191729,25192178,True,6,True,False
1000000000000000,999999999999521,999999999999551,999999999999571,C_open_square,1000000025191729,25192178,True,6,True,False
