scale,chains,zero_horizon_chains,median_required_horizon,p90_required_horizon,p95_required_horizon,max_required_horizon,sqrt_scale,max_over_sqrt_scale
1000000000000,102,60,0.0,286697,501623,815519,1000000,0.815519
1000000000000000,141,76,0,6838831,11954431,29688559,31622776,0.938834686746034
1000000000000000000,145,69,46619,185239181,386459531,900794569,1000000000,0.900794569
