scale,anchor_p,seed_q0,recovered_q_for_audit_only,candidate_n,candidate_visible_ordinal,candidate_offset_from_anchor,candidate_offset_from_seed,is_recovered_q_for_audit_only,prior_visible_open_count_including_seed,distance_open_prior_count_including_seed,distance_closed_prior_count_including_seed,seed_distance_closure_reason
1000000000000,999999999529,999999999541,999999999571,999999999617,8,88,76,False,8,0,8,wheel_closed_residue:16
1000000000000,999999999529,999999999541,999999999571,999999999641,9,112,100,False,9,0,9,wheel_closed_residue:10
1000000000000,999999999391,999999999419,999999999457,999999999457,1,66,38,True,1,0,1,wheel_closed_residue:8
1000000000000,999999999391,999999999419,999999999457,999999999497,2,106,78,False,2,0,2,wheel_closed_residue:18
1000000000000,999999999391,999999999419,999999999457,999999999517,3,126,98,False,3,0,3,wheel_closed_residue:8
1000000000000,999999999331,999999999337,999999999359,999999999359,1,28,22,True,1,0,1,wheel_closed_residue:22
1000000000000,999999999331,999999999337,999999999359,999999999391,2,60,54,False,2,0,2,wheel_closed_residue:24
1000000000000,999999999331,999999999337,999999999359,999999999419,3,88,82,False,3,0,3,wheel_closed_residue:22
1000000000000,999999999331,999999999337,999999999359,999999999457,4,126,120,False,4,0,4,wheel_closed_residue:0
1000000000000,999999999287,999999999289,999999999293,999999999293,1,6,4,True,1,0,1,wheel_closed_residue:4
1000000000000,999999999287,999999999289,999999999293,999999999301,2,14,12,False,2,0,2,wheel_closed_residue:12
1000000000000,999999999287,999999999289,999999999293,999999999331,3,44,42,False,3,0,3,wheel_closed_residue:12
1000000000000,999999999287,999999999289,999999999293,999999999337,4,50,48,False,4,0,4,wheel_closed_residue:18
1000000000000,999999999287,999999999289,999999999293,999999999359,5,72,70,False,5,0,5,wheel_closed_residue:10
1000000000000,999999999287,999999999289,999999999293,999999999391,6,104,102,False,6,0,6,wheel_closed_residue:12
1000000000000,999999999161,999999999209,999999999247,999999999223,1,62,14,False,1,0,1,wheel_closed_residue:14
1000000000000,999999999161,999999999209,999999999247,999999999247,2,86,38,True,2,0,2,wheel_closed_residue:8
1000000000000,999999999161,999999999209,999999999247,999999999253,3,92,44,False,3,0,3,wheel_closed_residue:14
1000000000000,999999999161,999999999209,999999999247,999999999269,4,108,60,False,4,0,4,wheel_closed_residue:0
1000000000000,999999999161,999999999209,999999999247,999999999277,5,116,68,False,5,0,5,wheel_closed_residue:8
1000000000000,999999999161,999999999209,999999999247,999999999287,6,126,78,False,6,0,6,wheel_closed_residue:18
1000000000000,999999999161,999999999209,999999999247,999999999289,7,128,80,False,7,0,7,wheel_closed_residue:20
1000000000000,999999999143,999999999151,999999999161,999999999161,1,18,10,True,1,0,1,wheel_closed_residue:10
1000000000000,999999999143,999999999151,999999999161,999999999209,2,66,58,False,2,0,2,wheel_closed_residue:28
1000000000000,999999999143,999999999151,999999999161,999999999223,3,80,72,False,3,0,3,wheel_closed_residue:12
1000000000000,999999999143,999999999151,999999999161,999999999247,4,104,96,False,4,0,4,wheel_closed_residue:6
1000000000000,999999999143,999999999151,999999999161,999999999253,5,110,102,False,5,0,5,wheel_closed_residue:12
1000000000000,999999999143,999999999151,999999999161,999999999269,6,126,118,False,6,0,6,wheel_closed_residue:28
1000000000000,999999998867,999999998869,999999998939,999999998897,1,30,28,False,1,0,1,wheel_closed_residue:28
1000000000000,999999998867,999999998869,999999998939,999999998939,2,72,70,True,2,0,2,wheel_closed_residue:10
1000000000000,999999998867,999999998869,999999998939,999999998941,3,74,72,False,3,0,3,wheel_closed_residue:12
1000000000000,999999998867,999999998869,999999998939,999999998951,4,84,82,False,4,0,4,wheel_closed_residue:22
1000000000000,999999998867,999999998869,999999998939,999999998993,5,126,124,False,5,0,5,wheel_closed_residue:4
1000000000000,999999998801,999999998813,999999998821,999999998821,1,20,8,True,1,0,1,wheel_closed_residue:8
1000000000000,999999998801,999999998813,999999998821,999999998863,2,62,50,False,2,0,2,wheel_closed_residue:20
1000000000000,999999998801,999999998813,999999998821,999999998867,3,66,54,False,3,0,3,wheel_closed_residue:24
1000000000000,999999998801,999999998813,999999998821,999999998869,4,68,56,False,4,0,4,wheel_closed_residue:26
1000000000000,999999998801,999999998813,999999998821,999999998897,5,96,84,False,5,0,5,wheel_closed_residue:24
1000000000000,999999998611,999999998623,999999998713,999999998639,1,28,16,False,1,0,1,wheel_closed_residue:16
1000000000000,999999998611,999999998623,999999998713,999999998677,2,66,54,False,2,0,2,wheel_closed_residue:24
1000000000000,999999998611,999999998623,999999998713,999999998681,3,70,58,False,3,0,3,wheel_closed_residue:28
1000000000000,999999998611,999999998623,999999998713,999999998713,4,102,90,True,4,0,4,wheel_closed_residue:0
1000000000000,999999998611,999999998623,999999998713,999999998719,5,108,96,False,5,0,5,wheel_closed_residue:6
1000000000000,999999998611,999999998623,999999998713,999999998737,6,126,114,False,6,0,6,wheel_closed_residue:24
1000000000000,999999998533,999999998537,999999998567,999999998551,1,18,14,False,1,0,1,wheel_closed_residue:14
1000000000000,999999998533,999999998537,999999998567,999999998563,2,30,26,False,2,0,2,wheel_closed_residue:26
1000000000000,999999998533,999999998537,999999998567,999999998567,3,34,30,True,3,0,3,wheel_closed_residue:0
1000000000000,999999998533,999999998537,999999998567,999999998581,4,48,44,False,4,0,4,wheel_closed_residue:14
1000000000000,999999998533,999999998537,999999998567,999999998611,5,78,74,False,5,0,5,wheel_closed_residue:14
1000000000000,999999998533,999999998537,999999998567,999999998623,6,90,86,False,6,0,6,wheel_closed_residue:26
1000000000000,999999998533,999999998537,999999998567,999999998639,7,106,102,False,7,0,7,wheel_closed_residue:12
1000000000000,999999998513,999999998521,999999998527,999999998527,1,14,6,True,1,0,1,wheel_closed_residue:6
1000000000000,999999998513,999999998521,999999998527,999999998531,2,18,10,False,2,0,2,wheel_closed_residue:10
1000000000000,999999998513,999999998521,999999998527,999999998533,3,20,12,False,3,0,3,wheel_closed_residue:12
1000000000000,999999998513,999999998521,999999998527,999999998537,4,24,16,False,4,0,4,wheel_closed_residue:16
1000000000000,999999998513,999999998521,999999998527,999999998551,5,38,30,False,5,0,5,wheel_closed_residue:0
1000000000000,999999998513,999999998521,999999998527,999999998563,6,50,42,False,6,0,6,wheel_closed_residue:12
1000000000000,999999998513,999999998521,999999998527,999999998567,7,54,46,False,7,0,7,wheel_closed_residue:16
1000000000000,999999998513,999999998521,999999998527,999999998581,8,68,60,False,8,0,8,wheel_closed_residue:0
1000000000000,999999998513,999999998521,999999998527,999999998611,9,98,90,False,9,0,9,wheel_closed_residue:0
1000000000000,999999998513,999999998521,999999998527,999999998623,10,110,102,False,10,0,10,wheel_closed_residue:12
1000000000000,999999998513,999999998521,999999998527,999999998639,11,126,118,False,11,0,11,wheel_closed_residue:28
1000000000000,999999998461,999999998479,999999998497,999999998497,1,36,18,True,1,0,1,wheel_closed_residue:18
1000000000000,999999998461,999999998479,999999998497,999999998509,2,48,30,False,2,0,2,wheel_closed_residue:0
1000000000000,999999998461,999999998479,999999998497,999999998513,3,52,34,False,3,0,3,wheel_closed_residue:4
1000000000000,999999998461,999999998479,999999998497,999999998521,4,60,42,False,4,0,4,wheel_closed_residue:12
1000000000000,999999998461,999999998479,999999998497,999999998527,5,66,48,False,5,0,5,wheel_closed_residue:18
1000000000000,999999998461,999999998479,999999998497,999999998531,6,70,52,False,6,0,6,wheel_closed_residue:22
1000000000000,999999998461,999999998479,999999998497,999999998533,7,72,54,False,7,0,7,wheel_closed_residue:24
1000000000000,999999998461,999999998479,999999998497,999999998537,8,76,58,False,8,0,8,wheel_closed_residue:28
1000000000000,999999998461,999999998479,999999998497,999999998551,9,90,72,False,9,0,9,wheel_closed_residue:12
1000000000000,999999998461,999999998479,999999998497,999999998563,10,102,84,False,10,0,10,wheel_closed_residue:24
1000000000000,999999998461,999999998479,999999998497,999999998567,11,106,88,False,11,0,11,wheel_closed_residue:28
1000000000000,999999998461,999999998479,999999998497,999999998581,12,120,102,False,12,0,12,wheel_closed_residue:12
1000000000000,999999998401,999999998411,999999998429,999999998419,1,18,8,False,1,0,1,wheel_closed_residue:8
1000000000000,999999998401,999999998411,999999998429,999999998429,2,28,18,True,2,0,2,wheel_closed_residue:18
1000000000000,999999998401,999999998411,999999998429,999999998441,3,40,30,False,3,0,3,wheel_closed_residue:0
1000000000000,999999998401,999999998411,999999998429,999999998449,4,48,38,False,4,0,4,wheel_closed_residue:8
1000000000000,999999998401,999999998411,999999998429,999999998461,5,60,50,False,5,0,5,wheel_closed_residue:20
1000000000000,999999998401,999999998411,999999998429,999999998479,6,78,68,False,6,0,6,wheel_closed_residue:8
1000000000000,999999998401,999999998411,999999998429,999999998497,7,96,86,False,7,0,7,wheel_closed_residue:26
1000000000000,999999998401,999999998411,999999998429,999999998509,8,108,98,False,8,0,8,wheel_closed_residue:8
1000000000000,999999998401,999999998411,999999998429,999999998513,9,112,102,False,9,0,9,wheel_closed_residue:12
1000000000000,999999998401,999999998411,999999998429,999999998521,10,120,110,False,10,0,10,wheel_closed_residue:20
1000000000000,999999998401,999999998411,999999998429,999999998527,11,126,116,False,11,0,11,wheel_closed_residue:26
1000000000000,999999998311,999999998381,999999998399,999999998399,1,88,18,True,1,0,1,wheel_closed_residue:18
1000000000000,999999998311,999999998381,999999998399,999999998401,2,90,20,False,2,0,2,wheel_closed_residue:20
1000000000000,999999998311,999999998381,999999998399,999999998411,3,100,30,False,3,0,3,wheel_closed_residue:0
1000000000000,999999998311,999999998381,999999998399,999999998419,4,108,38,False,4,0,4,wheel_closed_residue:8
1000000000000,999999998311,999999998381,999999998399,999999998429,5,118,48,False,5,0,5,wheel_closed_residue:18
1000000000000,999999998237,999999998243,999999998281,999999998279,1,42,36,False,1,0,1,wheel_closed_residue:6
1000000000000,999999998237,999999998243,999999998281,999999998281,2,44,38,True,2,0,2,wheel_closed_residue:8
1000000000000,999999998237,999999998243,999999998281,999999998311,3,74,68,False,3,0,3,wheel_closed_residue:8
1000000000000,999999998227,999999998233,999999998237,999999998237,1,10,4,True,1,0,1,wheel_closed_residue:4
1000000000000,999999998227,999999998233,999999998237,999999998243,2,16,10,False,2,0,2,wheel_closed_residue:10
1000000000000,999999998227,999999998233,999999998237,999999998279,3,52,46,False,3,0,3,wheel_closed_residue:16
1000000000000,999999998227,999999998233,999999998237,999999998281,4,54,48,False,4,0,4,wheel_closed_residue:18
1000000000000,999999998227,999999998233,999999998237,999999998311,5,84,78,False,5,0,5,wheel_closed_residue:18
1000000000000,999999998203,999999998209,999999998227,999999998227,1,24,18,True,1,0,1,wheel_closed_residue:18
1000000000000,999999998203,999999998209,999999998227,999999998233,2,30,24,False,2,0,2,wheel_closed_residue:24
1000000000000,999999998203,999999998209,999999998227,999999998237,3,34,28,False,3,0,3,wheel_closed_residue:28
1000000000000,999999998203,999999998209,999999998227,999999998243,4,40,34,False,4,0,4,wheel_closed_residue:4
1000000000000,999999998203,999999998209,999999998227,999999998279,5,76,70,False,5,0,5,wheel_closed_residue:10
1000000000000,999999998203,999999998209,999999998227,999999998281,6,78,72,False,6,0,6,wheel_closed_residue:12
1000000000000,999999998203,999999998209,999999998227,999999998311,7,108,102,False,7,0,7,wheel_closed_residue:12
1000000000000,999999998183,999999998189,999999998191,999999998191,1,8,2,True,1,0,1,wheel_closed_residue:2
1000000000000,999999998183,999999998189,999999998191,999999998203,2,20,14,False,2,0,2,wheel_closed_residue:14
1000000000000,999999998183,999999998189,999999998191,999999998209,3,26,20,False,3,0,3,wheel_closed_residue:20
1000000000000,999999998183,999999998189,999999998191,999999998227,4,44,38,False,4,0,4,wheel_closed_residue:8
1000000000000,999999998183,999999998189,999999998191,999999998233,5,50,44,False,5,0,5,wheel_closed_residue:14
1000000000000,999999998183,999999998189,999999998191,999999998237,6,54,48,False,6,0,6,wheel_closed_residue:18
1000000000000,999999998183,999999998189,999999998191,999999998243,7,60,54,False,7,0,7,wheel_closed_residue:24
1000000000000,999999998183,999999998189,999999998191,999999998279,8,96,90,False,8,0,8,wheel_closed_residue:0
1000000000000,999999998183,999999998189,999999998191,999999998281,9,98,92,False,9,0,9,wheel_closed_residue:2
1000000000000,999999998183,999999998189,999999998191,999999998311,10,128,122,False,10,0,10,wheel_closed_residue:2
1000000000000,999999998069,999999998089,999999998141,999999998099,1,30,10,False,1,0,1,wheel_closed_residue:10
1000000000000,999999998069,999999998089,999999998141,999999998141,2,72,52,True,2,0,2,wheel_closed_residue:22
1000000000000,999999998069,999999998089,999999998141,999999998143,3,74,54,False,3,0,3,wheel_closed_residue:24
1000000000000,999999998069,999999998089,999999998141,999999998159,4,90,70,False,4,0,4,wheel_closed_residue:10
1000000000000,999999998069,999999998089,999999998141,999999998171,5,102,82,False,5,0,5,wheel_closed_residue:22
1000000000000,999999998069,999999998089,999999998141,999999998183,6,114,94,False,6,0,6,wheel_closed_residue:4
1000000000000,999999998069,999999998089,999999998141,999999998189,7,120,100,False,7,0,7,wheel_closed_residue:10
1000000000000,999999998069,999999998089,999999998141,999999998191,8,122,102,False,8,0,8,wheel_closed_residue:12
1000000000000,999999998021,999999998027,999999998047,999999998033,1,12,6,False,1,0,1,wheel_closed_residue:6
1000000000000,999999998021,999999998027,999999998047,999999998047,2,26,20,True,2,0,2,wheel_closed_residue:20
1000000000000,999999998021,999999998027,999999998047,999999998059,3,38,32,False,3,0,3,wheel_closed_residue:2
1000000000000,999999998021,999999998027,999999998047,999999998069,4,48,42,False,4,0,4,wheel_closed_residue:12
1000000000000,999999998021,999999998027,999999998047,999999998089,5,68,62,False,5,0,5,wheel_closed_residue:2
1000000000000,999999998021,999999998027,999999998047,999999998099,6,78,72,False,6,0,6,wheel_closed_residue:12
1000000000000,999999998021,999999998027,999999998047,999999998141,7,120,114,False,7,0,7,wheel_closed_residue:24
1000000000000,999999998021,999999998027,999999998047,999999998143,8,122,116,False,8,0,8,wheel_closed_residue:26
1000000000000,999999997939,999999997949,999999998021,999999997951,1,12,2,False,1,0,1,wheel_closed_residue:2
1000000000000,999999997939,999999997949,999999998021,999999997967,2,28,18,False,2,0,2,wheel_closed_residue:18
1000000000000,999999997939,999999997949,999999998021,999999997991,3,52,42,False,3,0,3,wheel_closed_residue:12
1000000000000,999999997939,999999997949,999999998021,999999998021,4,82,72,True,4,0,4,wheel_closed_residue:12
1000000000000,999999997939,999999997949,999999998021,999999998027,5,88,78,False,5,0,5,wheel_closed_residue:18
1000000000000,999999997939,999999997949,999999998021,999999998033,6,94,84,False,6,0,6,wheel_closed_residue:24
1000000000000,999999997939,999999997949,999999998021,999999998047,7,108,98,False,7,0,7,wheel_closed_residue:8
1000000000000,999999997939,999999997949,999999998021,999999998059,8,120,110,False,8,0,8,wheel_closed_residue:20
1000000000000,999999997831,999999997849,999999997907,999999997861,1,30,12,False,1,0,1,wheel_closed_residue:12
1000000000000,999999997831,999999997849,999999997907,999999997877,2,46,28,False,2,0,2,wheel_closed_residue:28
1000000000000,999999997831,999999997849,999999997907,999999997883,3,52,34,False,3,0,3,wheel_closed_residue:4
1000000000000,999999997831,999999997849,999999997907,999999997889,4,58,40,False,4,0,4,wheel_closed_residue:10
1000000000000,999999997831,999999997849,999999997907,999999997907,5,76,58,True,5,0,5,wheel_closed_residue:28
1000000000000,999999997831,999999997849,999999997907,999999997933,6,102,84,False,6,0,6,wheel_closed_residue:24
1000000000000,999999997831,999999997849,999999997907,999999997939,7,108,90,False,7,0,7,wheel_closed_residue:0
1000000000000,999999997831,999999997849,999999997907,999999997949,8,118,100,False,8,0,8,wheel_closed_residue:10
1000000000000,999999997831,999999997849,999999997907,999999997951,9,120,102,False,9,0,9,wheel_closed_residue:12
1000000000000,999999997679,999999997699,999999997721,999999997721,1,42,22,True,1,0,1,wheel_closed_residue:22
1000000000000,999999997679,999999997699,999999997721,999999997723,2,44,24,False,2,0,2,wheel_closed_residue:24
1000000000000,999999997679,999999997699,999999997721,999999997753,3,74,54,False,3,0,3,wheel_closed_residue:24
