scale,rule_id,shadow_seed_rows,top1_selected,top1_correct,top1_recall,would_convert_shadow_recovery_to_pgs,would_create_audit_failures,projected_pgs_percent,promotion_eligible,failure_mode_selected_too_early,failure_mode_selected_too_late,failure_mode_no_selection
1000000000000,B0_first_visible_open_baseline,102,102,60,0.5882352941176471,60,42,83.399209486166,False,42,0,0
1000000000000,D1_first_seed_distance_closes_all_prior,102,102,60,0.5882352941176471,60,42,83.399209486166,False,42,0,0
1000000000000000,B0_first_visible_open_baseline,141,141,76,0.5390070921985816,76,65,73.89558232931726,False,65,0,0
1000000000000000,D1_first_seed_distance_closes_all_prior,141,141,76,0.5390070921985816,76,65,73.89558232931726,False,65,0,0
1000000000000000000,B0_first_visible_open_baseline,145,145,69,0.47586206896551725,69,76,69.6,False,76,0,0
1000000000000000000,D1_first_seed_distance_closes_all_prior,145,145,69,0.47586206896551725,69,76,69.6,False,76,0,0
