scale,anchor_p,seed_q0,true_q_for_audit_only,terminal_delta_from_seed_for_audit_only,terminal_visible_index_for_audit_only,seed_offset_from_anchor,candidate_bound,visible_divisor_bound,carrier_d_probe_only,p_mod_30,p_mod_210,p_mod_2310,seed_mod_30,seed_mod_210,seed_mod_2310,visible_open_count_after_seed,visible_delta_vector,visible_delta_prefix_2,visible_delta_prefix_3,visible_delta_prefix_4,visible_delta_prefix_8,visible_gap_prefix_3,visible_gap_prefix_4,visible_gap_prefix_8,open_square_delta_from_seed,open_square_visible_count_before,candidate_bound_contains_terminal
1000000000000,999999998203,999999998209,999999998227,18,1,6,128,10000,,13,73,283,19,79,289,7,18.24.28.34.70.72.102,18.24,18.24.28,18.24.28.34,18.24.28.34.70.72.102,6.4.6,6.4.6.36,6.4.6.36.2.30,2001792,7,True
1000000000000,999999998183,999999998189,999999998191,2,1,6,128,10000,,23,53,263,29,59,269,10,2.14.20.38.44.48.54.90.92.122,2.14,2.14.20,2.14.20.38,2.14.20.38.44.48.54.90,12.6.18,12.6.18.6,12.6.18.6.4.6.36.2,2001812,10,True
1000000000000,999999998069,999999998089,999999998141,52,2,20,128,10000,,29,149,149,19,169,169,8,10.52.54.70.82.94.100.102,10.52,10.52.54,10.52.54.70,10.52.54.70.82.94.100.102,42.2.16,42.2.16.12,42.2.16.12.12.6.2,2001912,8,True
1000000000000,999999998021,999999998027,999999998047,20,2,6,128,10000,,11,101,101,17,107,107,8,6.20.32.42.62.72.114.116,6.20,6.20.32,6.20.32.42,6.20.32.42.62.72.114.116,14.12.10,14.12.10.20,14.12.10.20.10.42.2,2001974,8,True
1000000000000,999999997939,999999997949,999999998021,72,4,10,128,10000,,19,19,19,29,29,29,8,2.18.42.72.78.84.98.110,2.18,2.18.42,2.18.42.72,2.18.42.72.78.84.98.110,16.24.30,16.24.30.6,16.24.30.6.6.14.12,2002052,8,True
1000000000000,999999997831,999999997849,999999997907,58,5,18,128,10000,,1,121,2221,19,139,2239,9,12.28.34.40.58.84.90.100.102,12.28,12.28.34,12.28.34.40,12.28.34.40.58.84.90.100,16.6.6,16.6.6.18,16.6.6.18.26.6.10.2,2002152,9,True
1000000000000,999999997679,999999997699,999999997721,22,1,20,128,10000,,29,179,2069,19,199,2089,6,22.24.54.58.72.94,22.24,22.24.54,22.24.54.58,22.24.54.58.72.94,2.30.4,2.30.4.14,2.30.4.14.22,2002302,6,True
1000000000000,999999997589,999999997597,999999997603,6,1,8,128,10000,,29,89,1979,7,97,1987,4,6.24.82.102,6.24,6.24.82,6.24.82.102,6.24.82.102,18.58.20,18.58.20,18.58.20,2002404,4,True
1000000000000,999999997517,999999997553,999999997589,36,2,36,128,10000,,17,17,1907,23,53,1943,5,14.36.44.50.68,14.36,14.36.44,14.36.44.50,14.36.44.50.68,22.8.6,22.8.6.18,22.8.6.18,2002448,5,True
1000000000000,999999997459,999999997463,999999997517,54,4,4,128,10000,,19,169,1849,23,173,1853,6,24.38.48.54.90.104,24.38,24.38.48,24.38.48.54,24.38.48.54.90.104,14.10.6,14.10.6.36,14.10.6.36.14,2002538,6,True
